"Lazzaro-Reggio Calabria (st. c.)";1866;22301,450293
"Collestrada-Foligno";1866;33565,392002
"Ponte S. Giovanni - Collestrada";1866;4867,152029
"Ellera Corciano-Ponte-S.Giovanni";1866;28990,496788
"Messina (st.c.)-Giardini Taormina";1866;59923,753816
"Pavia-Casalpusterlengo";1866;59311,292275
"Codogno-Cremona";1866;38263,383933
"Brescia-S.Zeno Folzano";1866;7193,049161
"S.Zeno Folzano-Olmeneta";1866;47199,329867
"Giardini Taormina-Catania (st.)";1867;59317,096635
"Foggia-Cervaro";1867;11860,075613
"Cervaro-Bovino Deliceto";1867;33018,058829
"Bovino Deliceto-Savignano Greci";1868;25113,716498
"Savignano Greci-Pianerottolo D'Ariano";1869;7649,454833
"Pianerottolo d'Ariano-Starza";1869;11577,997198
"S.Spirito(verso Ariano di P.)-Benevento";1868;38246,495511
"Officine Granili-Napoli (Magazzino Approvvigionamento)";1867;1610,695376
"Nunziatella-Civitavecchia (st.)";1867;81821,541255
"Bivio Gravellone-Voghera";1867;32172,672438
"Lecce-Zollino";1868;24878,188589
"Casalduni Ponte-Caserta";1868;61795,559203
"Benvevento-Casalduni Ponte";1868;20386,881841
"Torino-Venaria Reale";1868;10119,058842
"Venaria Reale-Caselle";1868;8129,972628
"Caselle-S.Maurizio Canavese";1869;6422,403231
"S. Maurizio Canavese-Ciriè";1869;4354,050871
"Ciriè-Lanzo";1876;15525,716565
"Cervaro-Candela";1868;39302,372036
"Candela-Rocchetta S. Antonio";1884;13959,046697
"Rocchetta S. Antonio-Rapolla Lavello";1891;30458,428302
"Rapolla Lavello-Gioia del Colle";1892;153277,961309
"Savona(Letimbro)-Voltri";1868;40286,936823
"Ventimiglia-Savona";1872;149467,310469
"Confine Francese (Ventimiglia confine)-Ventimiglia";1872;9848,180309
"Arona (st.)-Sesto Calende";1868;12187,944648
"Gioia del Colle-Taranto (st.)";1868;80921,276784
"Metaponto-Taranto (st.)";1869;56908,330684
"Metaponto-S. Basilio Pisticci";1869;10257,051585
"S. Basilio Pisticci-Trebisacce";1869;74119,349593
"Trebisacce-Rossano";1870;52886,947994
"Rossano-Cariati";1870;41367,000899
"Bianconovo-Lazzaro (verso Reggio C.)";1868;74058,688251
"Roccella Ionica-Bianconovo";1871;45507,487999
"Monasterace Stil-Roccella Ionica";1872;25514,26776
"Catanzaro Marina-Monasterace Stilo";1875;59016,713971
"Cotrone-Catanzaro Marina";1875;76599,392792
"Cariati-Cotrone";1874;70942,411908
"Zollino-Maglie";1868;10916,897961
"Nuova stazione di Maglie";1869;1544,369722
"Maglie-Otranto";1872;23749,240328
"Nardò-Tricase-Maglie";1911;110892,710642
"Genova (Piazza Brignole)-Chiavari";1868;48535,646426
"Chiavari-Sestro Levante";1870;10436,618069
"Sestri Levante-Spezia (st.c.)";1874;59835,938993
"Bivio Fiumetorto-Termini Imerese";1869;8824,518128
"Cerda-Bivio Fiumetorto";1869;2471,662109
"Sciara Aliminusa-Cerda";1869;7497,44657
"Montemaggiore Belsito-Sciara Aliminusa";1869;12145,363146
"Fiaccati-Montemaggiore Belsito";1870;6799,107106
"Roccapalumba Alia-Fiacciati";1870;4154,866135
"Roccapalumba Alia-Lercara Bassa";1870;9966,232315
"Lercara Bassa-Cammarata";1874;14923,53665
"Cammarata-Spina";1875;9638,328762
"Spina-Passofonduto";1876;18918,392651
